"","country","period","age","births","deaths","py.men","py.women","l_x","py.total"
"1","KEN","1950-1955","15-19",264.185,18.508,1588.554,1564.652,69469.47454,3153.206
"2","KEN","1950-1955","20-24",485.564,21.361,1427.824,1364.061,67421.14887,2791.885
"3","KEN","1950-1955","25-29",383.252,20.424,1204.917,1105.817,64854.80015,2310.734
"4","KEN","1950-1955","30-34",268.644,18.979,1033.053,928.075,62126.80667,1961.128
"5","KEN","1950-1955","35-39",165.693,18.854,913.425,802.62,59238.6993,1716.045
"6","KEN","1950-1955","40-44",79.582,19.301,816.753,710.981,56114.34714,1527.734
"7","KEN","1950-1955","45-49",25.573,19.889,692.612,654.844,52677.51035,1347.456
"8","KEN","2005-2010","15-19",1063.629,62.441,10640.972,10575.915,88101.92467,21216.887
"9","KEN","2005-2010","20-24",2285.725,75.375,9707.67,9692.037,86830.02218,19399.707
"10","KEN","2005-2010","25-29",1868.313,105.366,8046.14,8020.328,85158.46484,16066.468
"11","KEN","2005-2010","30-34",1119.287,132.677,6324.058,6188.021,82430.69068,12512.079
"12","KEN","2005-2010","35-39",611.44,131.216,4794.929,4657.95,78352.83541,9452.879
"13","KEN","2005-2010","40-44",208.039,98.897,3641.841,3697.673,72998.67709,7339.514
"14","KEN","2005-2010","45-49",118.814,67.807,2892.613,3114.355,68493.36232,6006.968
