"","study","treatment","therm1","therm2","therm3","therm4"
"1",1,"No Contact",91,91,NA,NA
"2",1,"No Contact",72,72,NA,NA
"3",1,"No Contact",69,69,NA,NA
"4",1,"No Contact",51,51,NA,NA
"5",1,"Recycling Script by Gay Canvasser",50,48,NA,NA
"6",1,"No Contact",99,99,NA,NA
"7",1,"No Contact",3,3,NA,NA
"8",1,"No Contact",56,56,NA,NA
"9",1,"No Contact",63,63,NA,NA
"10",1,"No Contact",50,54,NA,NA
"11",1,"No Contact",50,47,NA,NA
"12",1,"No Contact",84,84,NA,NA
"13",1,"No Contact",2,2,NA,NA
"14",1,"No Contact",50,45,NA,NA
"15",1,"No Contact",98,98,NA,NA
"16",1,"No Contact",1,1,NA,NA
"17",1,"No Contact",30,30,NA,NA
"18",1,"No Contact",73,73,NA,NA
"19",1,"No Contact",53,53,NA,NA
"20",1,"No Contact",100,95,NA,NA
"21",1,"No Contact",100,100,NA,NA
"22",1,"Recycling Script by Straight Canvasser",1,1,NA,NA
"23",1,"Recycling Script by Gay Canvasser",94,94,NA,NA
"24",1,"Recycling Script by Straight Canvasser",9,9,NA,NA
"25",1,"Recycling Script by Straight Canvasser",6,6,NA,NA
"26",1,"No Contact",3,NA,NA,NA
"27",1,"Recycling Script by Straight Canvasser",4,4,NA,NA
"28",1,"Recycling Script by Straight Canvasser",50,53,NA,NA
"29",1,"No Contact",51,51,NA,NA
"30",1,"No Contact",95,95,NA,NA
"31",1,"No Contact",50,49,NA,NA
"32",1,"No Contact",100,100,NA,NA
"33",1,"No Contact",50,52,NA,NA
"34",1,"No Contact",50,NA,NA,NA
"35",1,"No Contact",51,51,NA,NA
"36",1,"No Contact",8,8,NA,NA
"37",1,"No Contact",27,27,NA,NA
"38",1,"No Contact",62,62,NA,NA
"39",1,"No Contact",78,78,NA,NA
"40",1,"No Contact",87,87,NA,NA
"41",1,"Same-Sex Marriage Script by Gay Canvasser",50,65,NA,NA
"42",1,"Recycling Script by Gay Canvasser",84,84,NA,NA
"43",1,"No Contact",100,100,NA,NA
"44",1,"No Contact",50,47,NA,NA
"45",1,"Same-Sex Marriage Script by Straight Canvasser",50,NA,NA,NA
"46",1,"Recycling Script by Straight Canvasser",19,19,NA,NA
"47",1,"No Contact",84,84,NA,NA
"48",1,"No Contact",90,90,NA,NA
"49",1,"No Contact",50,50,NA,NA
"50",1,"No Contact",50,52,NA,NA
"51",1,"No Contact",12,NA,NA,NA
"52",1,"No Contact",77,77,NA,NA
"53",1,"No Contact",50,52,NA,NA
"54",1,"No Contact",90,90,NA,NA
"55",1,"No Contact",50,50,NA,NA
"56",1,"Recycling Script by Gay Canvasser",24,24,NA,NA
"57",1,"No Contact",88,NA,NA,NA
"58",1,"No Contact",22,22,NA,NA
"59",1,"No Contact",52,52,NA,NA
"60",1,"Recycling Script by Straight Canvasser",50,52,NA,NA
"61",1,"Recycling Script by Gay Canvasser",50,46,NA,NA
"62",1,"No Contact",60,NA,NA,NA
"63",1,"Same-Sex Marriage Script by Straight Canvasser",50,48,NA,NA
"64",1,"No Contact",50,49,NA,NA
"65",1,"No Contact",50,47,NA,NA
"66",1,"No Contact",100,91,NA,NA
"67",1,"Same-Sex Marriage Script by Gay Canvasser",85,85,NA,NA
"68",1,"Same-Sex Marriage Script by Gay Canvasser",86,86,NA,NA
"69",1,"No Contact",80,80,NA,NA
"70",1,"No Contact",50,52,NA,NA
"71",1,"No Contact",51,51,NA,NA
"72",1,"No Contact",100,100,NA,NA
"73",1,"No Contact",2,2,NA,NA
"74",1,"No Contact",100,89,NA,NA
"75",1,"No Contact",73,73,NA,NA
"76",1,"Same-Sex Marriage Script by Straight Canvasser",50,51,NA,NA
"77",1,"No Contact",2,NA,NA,NA
"78",1,"No Contact",1,NA,NA,NA
"79",1,"No Contact",52,52,NA,NA
"80",1,"Recycling Script by Straight Canvasser",71,71,NA,NA
"81",1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
"82",1,"No Contact",50,45,NA,NA
"83",1,"No Contact",94,94,NA,NA
"84",1,"No Contact",95,95,NA,NA
"85",1,"Recycling Script by Straight Canvasser",50,54,NA,NA
"86",1,"No Contact",50,47,NA,NA
"87",1,"No Contact",94,94,NA,NA
"88",1,"Recycling Script by Straight Canvasser",39,39,NA,NA
"89",1,"Same-Sex Marriage Script by Straight Canvasser",40,40,NA,NA
"90",1,"Recycling Script by Straight Canvasser",98,98,NA,NA
"91",1,"No Contact",99,NA,NA,NA
"92",1,"No Contact",51,51,NA,NA
"93",1,"No Contact",50,52,NA,NA
"94",1,"No Contact",50,NA,NA,NA
"95",1,"Recycling Script by Straight Canvasser",3,NA,NA,NA
"96",1,"Same-Sex Marriage Script by Gay Canvasser",68,68,NA,NA
"97",1,"No Contact",61,61,NA,NA
"98",1,"Same-Sex Marriage Script by Straight Canvasser",83,83,NA,NA
"99",1,"Same-Sex Marriage Script by Straight Canvasser",50,53,NA,NA
"100",1,"No Contact",100,100,NA,NA
"101",1,"No Contact",12,NA,NA,NA
"102",1,"No Contact",41,41,NA,NA
"103",1,"No Contact",79,79,NA,NA
"104",1,"No Contact",55,55,NA,NA
"105",1,"No Contact",100,95,NA,NA
"106",1,"No Contact",51,NA,NA,NA
"107",1,"No Contact",13,NA,NA,NA
"108",1,"Recycling Script by Straight Canvasser",31,31,NA,NA
"109",1,"No Contact",43,43,NA,NA
"110",1,"Same-Sex Marriage Script by Straight Canvasser",52,52,NA,NA
"111",1,"Same-Sex Marriage Script by Straight Canvasser",50,55,NA,NA
"112",1,"Same-Sex Marriage Script by Straight Canvasser",63,63,NA,NA
"113",1,"Same-Sex Marriage Script by Straight Canvasser",54,54,NA,NA
"114",1,"No Contact",51,NA,NA,NA
"115",1,"No Contact",100,NA,NA,NA
"116",1,"No Contact",35,35,NA,NA
"117",1,"No Contact",54,54,NA,NA
"118",1,"No Contact",38,38,NA,NA
"119",1,"No Contact",81,81,NA,NA
"120",1,"Same-Sex Marriage Script by Straight Canvasser",50,NA,NA,NA
"121",1,"Same-Sex Marriage Script by Straight Canvasser",50,64,NA,NA
"122",1,"Recycling Script by Straight Canvasser",50,55,NA,NA
"123",1,"No Contact",100,100,NA,NA
"124",1,"No Contact",51,51,NA,NA
"125",1,"No Contact",4,4,NA,NA
"126",1,"Same-Sex Marriage Script by Straight Canvasser",50,52,NA,NA
"127",1,"No Contact",80,NA,NA,NA
"128",1,"No Contact",99,99,NA,NA
"129",1,"Same-Sex Marriage Script by Gay Canvasser",100,97,NA,NA
"130",1,"No Contact",54,NA,NA,NA
"131",1,"No Contact",51,51,NA,NA
"132",1,"No Contact",100,100,NA,NA
"133",1,"Recycling Script by Straight Canvasser",61,61,NA,NA
"134",1,"Recycling Script by Gay Canvasser",50,44,NA,NA
"135",1,"Recycling Script by Gay Canvasser",46,46,NA,NA
"136",1,"Recycling Script by Gay Canvasser",50,52,NA,NA
"137",1,"No Contact",70,70,NA,NA
"138",1,"No Contact",98,98,NA,NA
"139",1,"No Contact",99,99,NA,NA
"140",1,"Recycling Script by Gay Canvasser",88,89,NA,NA
"141",1,"Recycling Script by Gay Canvasser",51,51,NA,NA
"142",1,"Recycling Script by Gay Canvasser",50,52,NA,NA
"143",1,"Recycling Script by Gay Canvasser",85,85,NA,NA
"144",1,"Same-Sex Marriage Script by Straight Canvasser",100,NA,NA,NA
"145",1,"Recycling Script by Gay Canvasser",40,40,NA,NA
"146",1,"Recycling Script by Gay Canvasser",26,26,NA,NA
"147",1,"No Contact",92,92,NA,NA
"148",1,"No Contact",63,63,NA,NA
"149",1,"Recycling Script by Straight Canvasser",71,71,NA,NA
"150",1,"No Contact",50,57,NA,NA
"151",1,"Same-Sex Marriage Script by Straight Canvasser",50,56,NA,NA
"152",1,"No Contact",19,19,NA,NA
"153",1,"No Contact",89,89,NA,NA
"154",1,"Recycling Script by Gay Canvasser",3,3,NA,NA
"155",1,"Recycling Script by Gay Canvasser",14,12,NA,NA
"156",1,"No Contact",27,27,NA,NA
"157",1,"No Contact",47,47,NA,NA
"158",1,"No Contact",10,10,NA,NA
"159",1,"No Contact",50,47,NA,NA
"160",1,"No Contact",60,60,NA,NA
"161",1,"No Contact",56,NA,NA,NA
"162",1,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,NA
"163",1,"Recycling Script by Straight Canvasser",83,83,NA,NA
"164",1,"Recycling Script by Straight Canvasser",46,46,NA,NA
"165",1,"Recycling Script by Gay Canvasser",75,75,NA,NA
"166",1,"No Contact",9,9,NA,NA
"167",1,"No Contact",50,53,NA,NA
"168",1,"No Contact",100,100,NA,NA
"169",1,"Recycling Script by Straight Canvasser",12,12,NA,NA
"170",1,"No Contact",51,51,NA,NA
"171",1,"No Contact",5,5,NA,NA
"172",1,"No Contact",100,99,NA,NA
"173",1,"No Contact",47,47,NA,NA
"174",1,"No Contact",81,81,NA,NA
"175",1,"No Contact",50,47,NA,NA
"176",1,"No Contact",62,62,NA,NA
"177",1,"No Contact",52,NA,NA,NA
"178",1,"No Contact",10,NA,NA,NA
"179",1,"No Contact",32,32,NA,NA
"180",1,"No Contact",35,35,NA,NA
"181",1,"No Contact",87,87,NA,NA
"182",1,"No Contact",50,48,NA,NA
"183",1,"No Contact",37,37,NA,NA
"184",1,"No Contact",66,66,NA,NA
"185",1,"No Contact",97,97,NA,NA
"186",1,"No Contact",50,45,NA,NA
"187",1,"No Contact",99,99,NA,NA
"188",1,"No Contact",51,51,NA,NA
"189",1,"Recycling Script by Gay Canvasser",59,59,NA,NA
"190",1,"No Contact",70,70,NA,NA
"191",1,"No Contact",50,49,NA,NA
"192",1,"No Contact",63,63,NA,NA
"193",1,"Recycling Script by Gay Canvasser",79,79,NA,NA
"194",1,"Recycling Script by Gay Canvasser",80,87,NA,NA
"195",1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
"196",1,"Same-Sex Marriage Script by Gay Canvasser",47,47,NA,NA
"197",1,"Recycling Script by Straight Canvasser",41,41,NA,NA
"198",1,"Recycling Script by Straight Canvasser",64,64,NA,NA
"199",1,"No Contact",50,NA,NA,NA
"200",1,"No Contact",90,90,NA,NA
"201",1,"No Contact",100,98,NA,NA
"202",1,"Same-Sex Marriage Script by Gay Canvasser",75,75,NA,NA
"203",1,"Same-Sex Marriage Script by Gay Canvasser",84,84,NA,NA
"204",1,"Same-Sex Marriage Script by Gay Canvasser",48,NA,NA,NA
"205",1,"Same-Sex Marriage Script by Gay Canvasser",92,92,NA,NA
"206",1,"No Contact",50,54,NA,NA
"207",1,"No Contact",92,92,NA,NA
"208",1,"No Contact",50,49,NA,NA
"209",1,"No Contact",80,80,NA,NA
"210",1,"Recycling Script by Gay Canvasser",50,48,NA,NA
"211",1,"Recycling Script by Gay Canvasser",9,9,NA,NA
"212",1,"No Contact",91,NA,NA,NA
"213",1,"No Contact",17,17,NA,NA
"214",1,"No Contact",50,56,NA,NA
"215",1,"Recycling Script by Gay Canvasser",100,100,NA,NA
"216",1,"Recycling Script by Gay Canvasser",91,91,NA,NA
"217",1,"No Contact",50,48,NA,NA
"218",1,"No Contact",63,63,NA,NA
"219",1,"No Contact",27,27,NA,NA
"220",1,"Same-Sex Marriage Script by Gay Canvasser",52,52,NA,NA
"221",1,"No Contact",3,3,NA,NA
"222",1,"No Contact",54,NA,NA,NA
"223",1,"No Contact",62,62,NA,NA
"224",1,"Same-Sex Marriage Script by Gay Canvasser",51,51,NA,NA
"225",1,"Same-Sex Marriage Script by Gay Canvasser",99,99,NA,NA
"226",1,"No Contact",94,94,NA,NA
"227",1,"No Contact",80,80,NA,NA
"228",1,"Same-Sex Marriage Script by Straight Canvasser",50,NA,NA,NA
"229",1,"Same-Sex Marriage Script by Straight Canvasser",72,72,NA,NA
"230",1,"Same-Sex Marriage Script by Straight Canvasser",91,91,NA,NA
"231",1,"Same-Sex Marriage Script by Straight Canvasser",85,85,NA,NA
"232",1,"No Contact",88,88,NA,NA
"233",1,"No Contact",51,51,NA,NA
"234",1,"No Contact",51,51,NA,NA
"235",1,"No Contact",11,11,NA,NA
"236",1,"No Contact",100,100,NA,NA
"237",1,"No Contact",93,93,NA,NA
"238",1,"Same-Sex Marriage Script by Gay Canvasser",96,100,NA,NA
"239",1,"Recycling Script by Straight Canvasser",51,51,NA,NA
"240",1,"No Contact",72,72,NA,NA
"241",1,"Recycling Script by Straight Canvasser",99,99,NA,NA
"242",1,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,NA
"243",1,"Same-Sex Marriage Script by Gay Canvasser",92,92,NA,NA
"244",1,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
"245",1,"No Contact",100,100,NA,NA
"246",1,"No Contact",50,55,NA,NA
"247",1,"No Contact",50,55,NA,NA
"248",1,"Same-Sex Marriage Script by Gay Canvasser",52,56,NA,NA
"249",1,"Same-Sex Marriage Script by Gay Canvasser",50,54,NA,NA
"250",1,"Same-Sex Marriage Script by Gay Canvasser",50,51,NA,NA
"251",1,"Recycling Script by Gay Canvasser",50,49,NA,NA
"252",1,"Same-Sex Marriage Script by Gay Canvasser",91,91,NA,NA
"253",1,"No Contact",1,1,NA,NA
"254",1,"No Contact",91,91,NA,NA
"255",1,"No Contact",71,NA,NA,NA
"256",1,"Same-Sex Marriage Script by Straight Canvasser",3,3,NA,NA
"257",1,"Recycling Script by Straight Canvasser",13,13,NA,NA
"258",1,"No Contact",70,70,NA,NA
"259",1,"Recycling Script by Straight Canvasser",68,68,NA,NA
"260",1,"Recycling Script by Gay Canvasser",95,95,NA,NA
"261",1,"No Contact",20,20,NA,NA
"262",1,"No Contact",63,63,NA,NA
"263",1,"No Contact",30,NA,NA,NA
"264",1,"No Contact",1,1,NA,NA
"265",1,"Recycling Script by Gay Canvasser",100,100,NA,NA
"266",1,"Recycling Script by Straight Canvasser",69,69,NA,NA
"267",1,"Recycling Script by Straight Canvasser",56,56,NA,NA
"268",1,"Recycling Script by Gay Canvasser",72,72,NA,NA
