"","X","Year","meanPctAgreeUS","meanPctAgreeRUSSIA","meanIdealpoint","medianPctAgreeUS","medianPctAgreeRUSSIA","medianIdealpoint","formerSovMedianIdealPt","nonFormerSovMedianIdealPt"
"1",1,1946,0.5845618,0.361673172222222,0.878918248703704,0.6428571,0.2910783,1.109157,-2.324216,1.213859
"2",2,1947,0.621444914035088,0.38264901754386,0.837603843157895,0.7105263,0.3421053,1.058621,-2.279089,1.131182
"3",3,1948,0.577968142372881,0.279464874576271,0.765981013559322,0.65,0.1956522,1.001996,-2.40098,1.024694
"4",4,1949,0.540645588135593,0.377211866949153,0.733456998542373,0.557377,0.3606557,0.9231244,-2.502763,0.9984572
"5",5,1950,0.634706661666667,0.311865433333333,0.686996142166667,0.6792453,0.2403846,0.96678975,-2.569283,0.9953963
"6",6,1951,0.486992588333333,0.40152956,0.676820516833333,0.51,0.35391305,0.89734505,-2.560522,1.065031
"7",7,1952,0.556634231666667,0.345368753333333,0.637317070333333,0.587585,0.31180555,0.87268735,-2.498172,0.9575047
"8",8,1953,0.445237935,0.505925316666667,0.6237823925,0.44,0.44916665,0.90178675,-2.489082,0.9693923
"9",9,1954,0.438394115,0.480903258,0.607110784333333,0.4333333,0.4740741,0.74024665,-2.479382,0.7548386
"10",10,1955,0.415942770769231,0.502716212307692,0.469122550769231,0.4444444,0.5185185,0.6368996,-2.512463,0.66368455
"11",11,1956,0.659360037037037,0.345608349506173,0.352021222222222,0.7666667,0.2666667,0.698882,-2.558117,0.7162166
"12",12,1957,0.585061195121951,0.434409082560976,0.349606883292683,0.6470588,0.3529412,0.65839155,-2.572714,0.6992467
"13",13,1958,0.654792331707317,0.483531363414634,0.334301705365854,0.7272727,0.4000947,0.7360419,-2.574273,0.7670332
"14",14,1959,0.486099895121951,0.473800341463415,0.315534331707317,0.5385185,0.43518515,0.6024245,-2.578429,0.6672007
"15",15,1960,0.513067824242424,0.449518234141414,0.206854574646465,0.5064935,0.3495146,0.5495017,-2.447964,0.56532835
"16",16,1961,0.498408955769231,0.412027381346154,0.148334427942308,0.48754955,0.396906,0.25527025,-2.378714,0.2946762
"17",17,1962,0.473442432636364,0.481331914454545,0.138238272545455,0.42391305,0.4615942,0.14801525,-2.348193,0.2314669
