"","PWGTP","SEX","AGEP","CIT","COW","ENG","FER","JWMNP","LANX","MAR","SCHL","WAGP","ESR","WKHP","WRK","NATIVITY","PINCP","ENG_c","CIT_c","Work_Class","FER_c","SEX_c","AGE_C"
"1",132,1,7,1,NA,1,NA,NA,1,5,"03",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"2",12,2,53,1,NA,NA,NA,NA,2,3,"15",0,6,NA,2,1,0,NA,"Born in US",NA,NA,"Female","31-64"
"3",21,2,21,1,NA,NA,2,NA,2,5,"19",0,6,NA,NA,1,0,NA,"Born in US",NA,"No","Female","19-30"
"4",84,1,20,1,NA,1,NA,NA,1,5,"19",0,6,NA,2,1,0,"Very Well","Born in US",NA,NA,"Male","19-30"
"5",59,2,84,4,NA,1,NA,NA,1,2,"17",0,6,NA,2,2,8400,"Very Well","US Citizen by Naturalization",NA,NA,"Female","over 75"
"6",5,1,17,1,NA,NA,NA,NA,2,5,"16",0,6,NA,NA,1,14200,NA,"Born in US",NA,NA,"Male","14-18"
"7",62,2,18,1,1,1,2,NA,1,5,"18",1000,6,20,NA,1,1000,"Very Well","Born in US","Private","No","Female","14-18"
"8",31,2,94,1,NA,NA,NA,NA,2,2,"17",0,6,NA,2,1,12500,NA,"Born in US",NA,NA,"Female","over 75"
"9",51,1,18,1,1,1,NA,NA,1,5,"18",500,6,15,NA,1,500,"Very Well","Born in US","Private",NA,"Male","14-18"
"10",62,2,26,5,1,2,2,20,1,1,"15",26000,1,40,1,2,26000,"Well","Not a citizen of the US","Private","No","Female","19-30"
"11",39,2,18,4,NA,1,2,NA,1,5,"18",0,6,NA,NA,2,0,"Very Well","US Citizen by Naturalization",NA,"No","Female","14-18"
"12",46,1,20,1,1,1,NA,NA,1,5,"19",1300,6,45,NA,1,1300,"Very Well","Born in US","Private",NA,"Male","19-30"
"13",6,2,57,1,NA,NA,NA,NA,2,3,"15",0,6,NA,NA,1,6000,NA,"Born in US",NA,NA,"Female","31-64"
"14",67,2,19,1,3,1,2,10,1,5,"18",300,1,6,1,1,300,"Very Well","Born in US","Government","No","Female","19-30"
"15",14,1,86,4,NA,NA,NA,NA,2,1,"19",0,6,NA,NA,2,11800,NA,"US Citizen by Naturalization",NA,NA,"Male","over 75"
"16",81,1,19,1,1,NA,NA,NA,2,5,"16",1500,6,99,2,1,1500,NA,"Born in US","Private",NA,"Male","19-30"
"17",68,2,19,1,1,NA,2,NA,2,5,"19",0,6,NA,2,1,200,NA,"Born in US","Private","No","Female","19-30"
"18",25,2,20,1,1,1,2,NA,1,5,"18",2000,6,20,NA,1,2000,"Very Well","Born in US","Private","No","Female","19-30"
"19",25,2,72,1,NA,NA,NA,NA,2,3,"19",0,6,NA,2,1,10700,NA,"Born in US",NA,NA,"Female","65-75"
"20",22,2,21,1,4,NA,2,12,2,5,"19",1000,1,6,NA,1,1800,NA,"Born in US","Government","No","Female","19-30"
"21",36,2,28,1,1,NA,2,7,2,1,"16",38000,1,55,1,1,38000,NA,"Born in US","Private","No","Female","19-30"
"22",53,2,18,1,1,NA,2,NA,2,5,"18",1000,6,20,NA,1,1000,NA,"Born in US","Private","No","Female","14-18"
"23",7,1,47,1,NA,NA,NA,NA,2,5,"01",0,6,NA,2,1,1400,NA,"Born in US",NA,NA,"Male","31-64"
"24",19,1,67,1,NA,NA,NA,NA,2,5,"16",0,6,NA,NA,1,12000,NA,"Born in US",NA,NA,"Male","65-75"
"25",56,1,26,5,1,1,NA,NA,1,5,"22",45000,2,20,2,2,45000,"Very Well","Not a citizen of the US","Private",NA,"Male","19-30"
"26",9,1,85,1,NA,NA,NA,NA,2,2,"21",0,6,NA,NA,1,24500,NA,"Born in US",NA,NA,"Male","over 75"
"27",13,2,94,1,NA,NA,NA,NA,2,2,"19",0,6,NA,NA,1,14400,NA,"Born in US",NA,NA,"Female","over 75"
"28",49,2,19,1,NA,1,2,NA,1,5,"18",0,6,NA,NA,1,0,"Very Well","Born in US",NA,"No","Female","19-30"
"29",52,2,94,4,NA,2,NA,NA,1,2,"07",0,6,NA,NA,2,20000,"Well","US Citizen by Naturalization",NA,NA,"Female","over 75"
"30",15,2,67,1,3,NA,NA,NA,2,1,"19",5200,6,9,NA,1,17200,NA,"Born in US","Government",NA,"Female","65-75"
"31",34,1,64,1,NA,NA,NA,NA,2,5,"22",0,6,NA,2,1,0,NA,"Born in US",NA,NA,"Male","31-64"
"32",62,2,76,1,NA,NA,NA,NA,2,2,"16",0,6,NA,NA,1,0,NA,"Born in US",NA,NA,"Female","over 75"
"33",63,2,24,1,1,2,2,60,1,5,"17",3600,1,30,1,1,3600,"Well","Born in US","Private","No","Female","19-30"
"34",9,2,23,1,NA,NA,2,NA,2,5,"17",0,6,NA,2,1,9000,NA,"Born in US",NA,"No","Female","19-30"
"35",7,2,64,1,NA,NA,NA,NA,2,5,"01",0,6,NA,2,1,1400,NA,"Born in US",NA,NA,"Female","31-64"
"36",42,2,17,1,NA,NA,2,NA,2,5,"14",0,6,NA,2,1,0,NA,"Born in US",NA,"No","Female","14-18"
"37",17,2,70,1,NA,NA,NA,NA,2,5,"19",0,6,NA,NA,1,11000,NA,"Born in US",NA,NA,"Female","65-75"
